uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,c1nncnn1,6,15,42.17698017191583,0,True
14,CCc1cc(-c2cc(CC)c(C(=O)[O-])c(CC)c2)ccc1-c1c(CC)cc(C(=O)[O-])c(CC)c1CC,CCc1cc(CC)c(CC)c(C(=O)[O-])c1.CCc1cccc(CC)c1C(=O)[O-],CCc1ccccc1,14,19,91.23885099394217,14,True
32,c1ccc(-c2cncc(-c3ccccc3)n2)cc1,c1ccccc1.c1ccccc1,c1cnccn1,3,9,42.43914803728908,32,True
36,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011262356702235,36,True
0,CCCc1cc(C(=O)[O-])ccc1-c1nnc(-c2c(CCC)cc(C(=O)[O-])cc2CCC)nn1,CCCc1cc(CCC)cc(C(=O)[O-])c1.CCCc1cccc(C(=O)[O-])c1,c1nncnn1,14,26,64.51590946634055,0,True
30,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011262356702235,30,True
51,O=C([O-])c1cc(F)c(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)c(F)c2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)c(F)c1,7,17,57.79235727721687,51,True
62,NC(C#CC(=O)[O-])=C(N)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],NC=CN,4,9,5.808133229900209,62,True
0,CCCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3CCC)nn2)c(CCC)cc1C(=O)[O-],CCCc1ccc(CCC)c(C(=O)[O-])c1.CCCc1cccc(C(=O)[O-])c1,c1nncnn1,11,17,67.48947410130928,0,True
17,O=C([O-])c1ccc(-c2cc(Cl)c(-c3ccc(C(=O)[O-])cc3Cl)cc2Cl)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1cccc(Cl)c1,Clc1ccc(Cl)cc1,6,16,57.80599097905692,17,True
24,Clc1cc(-c2ccc(-c3cc(Cl)nc(Cl)c3Cl)c(Cl)c2)cc(Cl)n1,Clc1ccc(Cl)c(Cl)n1.Clc1cccc(Cl)n1,Clc1ccccc1,3,11,48.94734897804295,24,True
31,CCCC(=Cc1ccc(C(=O)[O-])cc1)c1c(CCC)cc(C(=O)[O-])cc1CCC,CCCc1cc(CCC)cc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CCCC,14,21,57.1169430656124,31,True
0,Nc1cc(-c2cc(N)c(-c3c(N)cnc(N)c3N)cc2N)c(N)cn1,Nc1ccc(N)nc1.Nc1cnc(N)c(N)c1,Nc1ccc(N)cc1,3,16,64.79752732958646,0,True
4,O=C([O-])c1ccc(-c2c(Cl)cc(-c3ccc(C(=O)[O-])c(Cl)c3)cc2Cl)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1ccccc1Cl,Clc1cccc(Cl)c1,6,16,59.03192574060439,4,True
15,O=C([O-])c1ccc(-c2nnc(-c3cc(F)c(C(=O)[O-])cc3F)nn2)cc1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1ccccc1,c1nncnn1,7,17,44.73164515418688,15,True
22,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.42061574168036,22,True
0,CCc1cc(-c2nnc(-c3ccnc(CC)c3CC)nn2)c(CC)cn1,CCc1ccc(CC)nc1.CCc1cccnc1CC,c1nncnn1,4,16,59.042287938535466,0,True
11,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1,c1nncnn1,4,17,74.05235951328778,11,True
30,O=C([O-])c1ccc(C(F)=C(F)c2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,FC=CF,7,18,46.00521810935345,30,True
44,Fc1cc(-c2c(F)cncc2F)ccc1-c1c(F)cnc(F)c1F,Fc1cnc(F)c(F)c1.Fc1cncc(F)c1,Fc1ccccc1,8,16,49.65070904774585,44,True
0,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)cc2)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cc(F)ccc1F,c1ccccc1,7,18,55.31822488071968,0,True
13,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(Cl)c3)cc2Cl)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1ccccc1Cl,Clc1ccccc1,6,16,58.21545250897877,13,True
26,O=C([O-])c1cc(Cl)c(-c2cc(Cl)c(-c3c(Cl)cc(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2Cl)c(Cl)c1,O=C([O-])c1cc(Cl)cc(Cl)c1.O=C([O-])c1cc(Cl)cc(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1,7,19,66.87559543309567,26,True
33,COc1cc(-c2ccc(-c3ccc(C(=O)[O-])c(OC)c3OC)c(OC)c2)ccc1C(=O)[O-],COc1cccc(C(=O)[O-])c1OC.COc1ccccc1C(=O)[O-],COc1ccccc1,9,17,78.65086283821049,33,True
0,COc1cncc(OC)c1-c1nnc(-c2ccncc2)nn1,COc1cncc(OC)c1.c1ccncc1,c1nncnn1,9,12,46.8764469921958,0,True
8,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.2853957289904487,8,True
32,O=C([O-])c1ccc(C=C(F)c2c(F)cc(C(=O)[O-])c(F)c2F)cc1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1ccccc1,C=CF,7,18,42.882191133908094,32,True
43,O=C([O-])c1ccc(C(F)=Cc2cc(F)c(C(=O)[O-])c(F)c2)c(F)c1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1F,C=CF,7,17,44.103746430245806,43,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)cc1,6,17,57.06631056736763,0,True
12,O=C([O-])c1c(O)cc(-c2ccc(-c3cc(O)c(C(=O)[O-])c(O)c3)c(O)c2)cc1O,O=C([O-])c1c(O)cccc1O.O=C([O-])c1c(O)cccc1O,Oc1ccccc1,7,18,63.12994441918795,12,True
